short_name,long_name,overall,value_eur,wage_eur,player_positions,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
De Gea,David De Gea Quintana,89,56000000,205000,GOALKEEPER,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92
N. Kanté,N'Golo Kanté,89,66000000,235000,MIDFIELDER,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10
G. Chiellini,Giorgio Chiellini,89,24500000,215000,DEFENDER,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3
S. Agüero,Sergio Leonel Agüero del Castillo,89,60000000,300000,ATTACKER,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14
Sergio Ramos,Sergio Ramos García,89,31500000,300000,DEFENDER,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11
L. Suárez,Luis Alberto Suárez Díaz,89,53000000,355000,ATTACKER,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37
R. Lewandowski,Robert Lewandowski,89,64500000,235000,ATTACKER,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10
Sergio Busquets,Sergio Busquets i Burgos,89,55000000,300000,MIDFIELDER,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13
A. Griezmann,Antoine Griezmann,89,69000000,370000,ATTACKER,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14
P. Dybala,Paulo Bruno Exequiel Dybala,88,76500000,215000,MIDFIELDER,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,5,4,4,5,8
P. Pogba,Paul Pogba,88,72500000,250000,MIDFIELDER,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,5,6,2,4,3
Ederson,Ederson Santana de Moraes,88,54500000,185000,GOALKEEPER,20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88
R. Sterling,Raheem Sterling,88,73000000,255000,ATTACKER,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,15,12,12,15,9
C. Eriksen,Christian  Dannemann Eriksen,88,68000000,205000,MIDFIELDER,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,9,14,7,7,6
T. Courtois,Thibaut Courtois,88,48000000,235000,GOALKEEPER,14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,72,85,87
Piqué,Gerard Piqué Bernabéu,88,38000000,285000,DEFENDER,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8
S. Handanovič,Samir Handanovič,88,26000000,110000,GOALKEEPER,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89
M. Neuer,Manuel Neuer,88,32000000,155000,GOALKEEPER,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,87,91,85,87
H. Lloris,Hugo Lloris,88,36000000,150000,GOALKEEPER,13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,91
David Silva,David Josué Jiménez Silva,88,36000000,265000,MIDFIELDER,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,6,15,7,6,12
E. Cavani,Edinson Roberto Cavani Gómez,88,47000000,195000,ATTACKER,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,12,5,13,13,10
D. Godín,Diego Godín,88,28000000,135000,DEFENDER,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15
T. Kroos,Toni Kroos,88,57000000,330000,MIDFIELDER,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,10,11,13,7,10
M. Reus,Marco Reus,88,56000000,170000,MIDFIELDER,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11
P. Aubameyang,Pierre-Emerick Aubameyang,88,57000000,205000,ATTACKER,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9
S. Mané,Sadio Mané,88,62000000,220000,ATTACKER,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,10,10,15,7,14
A. Laporte,Aymeric  Laporte,87,56500000,195000,DEFENDER,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,87,64000000,210000,MIDFIELDER,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,9,10,14,12,9
Casemiro,Carlos Henrique Venancio Casimiro,87,53500000,240000,MIDFIELDER,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,13,14,16,12,12
H. Son,손흥민 孙兴慜,87,60000000,185000,ATTACKER,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,11,13,13,6,10
Fernandinho,Fernando Luiz Rosa,87,19500000,200000,MIDFIELDER,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,12,11,5,13,7
Thiago Silva,Thiago Emiliano da Silva,87,18500000,135000,DEFENDER,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,9,12,5,9,10
K. Benzema,Karim Benzema,87,45000000,285000,ATTACKER,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7
J. Vertonghen,Jan Vertonghen,87,32500000,155000,DEFENDER,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7
D. Mertens,Dries Mertens,87,40000000,135000,ATTACKER,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4
M. Hummels,Mats  Hummels,87,41000000,130000,DEFENDER,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,15,6,10,5,6
T. Alderweireld,Toby Alderweireld,87,41000000,155000,DEFENDER,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,16,6,14,16,14
Jordi Alba,Jordi Alba Ramos,87,40000000,240000,DEFENDER,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,13,15,13,6,13
Thiago,Thiago Alcântara do Nascimento,87,50000000,180000,MIDFIELDER,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,6,11,7,9,13
K. Navas,Keylor Navas,87,30500000,195000,GOALKEEPER,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
L. Insigne,Lorenzo Insigne,87,52000000,140000,ATTACKER,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,8,4,14,9,10
L. Sané,Leroy Sané,86,61000000,195000,ATTACKER,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,8,12,9,9,14
Marquinhos,Marcos  Aoás Corrêa,86,51500000,120000,DEFENDER,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,6,6,12,10,13
M. Škriniar,Milan Škriniar,86,52000000,89000,DEFENDER,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,10,13,12,8,12
M. Verratti,Marco Verratti,86,54500000,140000,MIDFIELDER,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,12,12,15,15,10
S. Umtiti,Samuel Umtiti,86,50000000,210000,DEFENDER,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,15,10,14,12,15
W. Szczęsny,Wojciech  Szczęsny,86,37500000,135000,GOALKEEPER,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,85,82,73,86,88
J. Kimmich,Joshua Kimmich,86,48000000,125000,MIDFIELDER,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,8,15,7,15,15
Isco,Francisco Román Alarcón Suárez,86,51000000,245000,MIDFIELDER,78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51,10,8,12,15,6
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,86,52000000,170000,ATTACKER,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,8,11,9,6,10
I. Rakitić,Ivan Rakitić,86,38000000,245000,MIDFIELDER,84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,14,11,12,5,9
M. Pjanić,Miralem Pjanić,86,42500000,180000,MIDFIELDER,80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,7,7,13,7,8
A. Di María,Ángel Fabián Di María Hernández,86,39000000,150000,ATTACKER,86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,10,7,11,12,11
L. Bonucci,Leonardo Bonucci,86,28500000,160000,DEFENDER,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4
Coutinho,Philippe Coutinho Correia,86,46500000,175000,ATTACKER,79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,12,7,9,14,6
Parejo,Daniel Parejo Muñoz,86,41000000,69000,MIDFIELDER,84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,5,9,12,14,8
T. Müller,Thomas Müller,86,43500000,170000,MIDFIELDER,79,87,81,81,84,75,81,59,72,82,69,75,74,91,71,78,77,86,67,80,61,58,92,85,60,84,44,57,46,6,7,11,14,14
C. Immobile,Ciro Immobile,86,44500000,105000,ATTACKER,55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6
A. Lacazette,Alexandre Lacazette,86,46000000,165000,ATTACKER,68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30,11,6,9,5,6
M. de Ligt,Matthijs de Ligt,85,50000000,76000,DEFENDER,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,12,11,11,12,10
G. Donnarumma,Gianluigi Donnarumma,85,41500000,34000,GOALKEEPER,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50,24,68,20,14,16,90,80,74,80,90
F. de Jong,Frenkie de Jong,85,52000000,195000,MIDFIELDER,75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77,7,13,10,10,9
R. Varane,Raphaël Varane,85,45000000,205000,DEFENDER,36,40,83,75,42,55,46,52,76,77,79,86,63,83,38,52,79,72,86,53,77,82,44,59,43,84,87,86,85,11,11,9,5,14
N. Süle,Niklas Süle,85,46500000,115000,DEFENDER,34,22,86,78,33,43,28,30,69,63,53,87,34,81,33,77,40,66,94,62,83,81,26,40,32,75,85,89,87,15,7,14,7,15
S. Milinković-Savić,Sergej Milinković-Savić,85,50500000,73000,MIDFIELDER,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
Rodri,Rodrigo Hernández Cascante,85,47000000,150000,MIDFIELDER,63,64,75,85,59,76,65,54,82,82,68,66,69,82,72,74,69,84,80,76,76,84,75,82,46,85,82,84,78,10,10,7,14,8
Saúl,Saúl Ñíguez Esclápez,85,49500000,77000,MIDFIELDER,69,78,83,85,76,81,72,60,83,85,71,70,73,82,69,82,78,87,77,81,69,79,82,82,55,83,77,78,77,7,13,12,10,9
Fabinho,Fábio Henrique Tavares,85,45000000,125000,MIDFIELDER,75,66,75,83,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,78,91,84,84,86,85,13,12,6,8,8
A. Robertson,Andrew Robertson,85,43500000,125000,DEFENDER,89,57,63,79,32,78,78,30,71,81,83,86,78,84,74,74,62,94,65,65,80,82,76,77,55,79,81,83,80,11,8,10,7,14
J. Giménez,José María Giménez de Vargas,85,45000000,69000,DEFENDER,47,37,81,69,30,50,36,44,62,60,67,70,54,79,39,72,89,64,88,48,89,85,24,27,38,75,88,86,86,9,11,7,10,15
C. Lenglet,Clément Lenglet,85,45000000,175000,DEFENDER,55,39,82,81,37,57,59,31,75,76,77,74,62,84,60,58,86,75,82,46,80,87,54,66,49,82,90,83,81,10,10,9,12,7
Bruno Fernandes,Bruno Miguel Borges Fernandes,85,49000000,24000,MIDFIELDER,86,77,58,86,86,85,86,87,87,87,79,76,78,84,79,89,72,92,67,88,70,73,81,88,87,86,66,64,57,12,14,15,8,14
A. Lopes,Anthony Lopes,85,33500000,88000,GOALKEEPER,19,18,16,32,13,15,15,14,31,21,63,64,67,84,62,56,82,36,73,18,43,25,9,48,16,65,13,15,13,87,80,75,84,89
P. Gulácsi,Péter Gulácsi,85,31000000,69000,GOALKEEPER,16,10,23,29,10,19,18,11,25,25,42,44,41,82,42,61,67,35,74,12,34,23,11,42,24,45,25,16,20,84,86,81,84,86
R. Bürki,Roman Bürki,85,32000000,92000,GOALKEEPER,15,8,17,37,13,12,13,12,24,23,44,54,49,83,52,56,74,36,74,14,35,18,10,50,20,58,11,13,16,86,80,74,83,89
R. Lukaku,Romelu Lukaku,85,46000000,115000,ATTACKER,72,84,85,75,77,78,78,66,71,70,64,84,55,84,46,87,71,75,95,74,71,27,86,73,78,81,30,30,30,8,15,14,7,10
K. Manolas,Kostas Manolas,85,37500000,105000,DEFENDER,27,25,80,60,16,54,30,10,61,65,81,83,68,82,60,40,86,72,82,12,86,86,25,22,26,85,87,87,89,8,6,8,15,12
Neto,Norberto Murara Neto,85,31000000,175000,GOALKEEPER,11,15,14,36,12,19,12,13,41,24,56,52,59,79,49,59,83,41,63,20,40,15,11,42,22,64,17,14,15,86,81,79,82,82
D. Alaba,David Olatukunbo Alaba,85,38000000,135000,DEFENDER,82,63,74,82,68,79,78,85,79,82,79,86,78,84,78,85,83,85,74,80,69,82,76,77,79,80,80,80,80,5,7,14,15,9
M. Icardi,Mauro Emanuel Icardi Rivero,85,46000000,115000,ATTACKER,46,89,88,73,85,75,58,45,54,80,76,75,75,85,76,84,94,67,73,70,56,22,92,64,82,79,45,24,20,13,9,5,7,9
Carvajal,Daniel Carvajal Ramos,85,38000000,205000,DEFENDER,84,41,70,83,34,78,74,47,74,84,79,83,80,84,82,68,77,90,74,36,84,83,75,74,45,82,83,83,85,13,13,15,9,15
H. Ziyech,Hakim Ziyech,85,45000000,39000,MIDFIELDER,84,73,53,86,74,83,90,78,89,83,83,77,86,84,78,80,37,84,58,77,73,52,82,89,67,77,44,56,40,11,7,11,8,14
Z. Ibrahimović,Zlatan Ibrahimović,85,14000000,15000,ATTACKER,70,86,83,77,88,77,80,78,73,84,57,55,72,82,39,90,68,59,87,88,84,20,91,84,89,90,28,37,24,13,15,10,9,12
A. Gómez,Alejandro Darío Gómez,85,34000000,92000,ATTACKER,81,79,38,81,72,85,79,79,74,85,94,85,92,81,94,76,70,70,46,79,56,40,82,85,72,84,50,30,34,8,11,12,9,6
G. Higuaín,Gonzalo Gerardo Higuaín,85,34500000,175000,ATTACKER,68,88,77,75,88,80,74,62,60,84,62,64,72,86,69,86,78,60,84,80,50,20,90,75,70,85,35,22,18,5,12,7,5,10
B. Matuidi,Blaise Matuidi,85,25000000,145000,MIDFIELDER,74,60,68,83,72,76,60,52,77,79,77,73,83,84,79,78,84,90,74,67,86,86,72,74,56,82,85,84,86,8,11,5,10,14
G. Bale,Gareth Frank Bale,85,37500000,250000,ATTACKER,86,84,84,81,85,83,90,87,80,84,90,91,79,80,65,92,86,73,80,90,65,59,85,79,76,85,54,55,52,15,15,11,5,6
Marcelo,Marcelo Vieira da Silva Júnior,85,28000000,205000,DEFENDER,89,73,75,85,63,89,84,67,77,92,82,80,85,85,86,82,77,79,78,70,81,81,83,80,59,85,71,79,82,12,5,5,5,9
A. Witsel,Axel  Witsel,85,31500000,110000,MIDFIELDER,69,71,81,89,77,78,69,68,84,84,67,77,76,85,67,78,77,82,82,74,79,80,75,80,76,92,82,85,83,5,7,7,10,7
Alex Sandro,Alex Sandro Lobo Silva,85,33000000,155000,DEFENDER,84,55,76,81,68,80,78,59,71,81,81,85,78,84,77,80,79,91,78,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5
Iago Aspas,Iago Aspas Juncal,85,34500000,49000,ATTACKER,80,88,78,79,83,86,80,76,68,85,80,76,87,85,72,79,66,71,60,82,63,39,86,79,82,85,39,21,18,12,16,9,12,13
Koke,Jorge Resurrección Merodio,85,40500000,88000,MIDFIELDER,86,72,61,89,56,82,85,76,87,85,70,67,71,87,80,84,63,92,75,81,79,79,82,85,59,84,74,78,64,14,12,5,10,13
J. Rodríguez,James David Rodríguez Rubio,85,40500000,225000,MIDFIELDER,90,83,62,86,90,85,89,86,83,90,57,54,80,84,76,86,46,65,64,92,60,55,80,86,81,87,52,41,44,15,15,15,5,14
Allan,Allan Marques Loureiro,85,38000000,110000,MIDFIELDER,70,74,59,86,56,84,65,49,79,84,79,71,82,89,86,73,69,94,79,69,90,89,79,80,53,85,88,88,86,13,13,5,5,8
J. Sancho,Jadon Sancho,84,44500000,61000,MIDFIELDER,78,78,37,83,80,92,81,48,59,88,89,87,91,84,90,68,51,77,59,62,43,29,78,83,57,80,32,45,34,7,11,10,11,13
K. Havertz,Kai Havertz,84,46000000,70000,MIDFIELDER,73,81,74,85,80,84,79,53,78,87,77,89,78,82,73,73,69,82,65,75,41,38,83,82,69,84,39,46,38,6,8,11,10,12
O. Dembélé,Ousmane Dembélé,84,42500000,195000,ATTACKER,84,79,43,82,76,89,82,64,76,85,94,93,89,78,83,83,59,69,52,78,54,36,78,78,75,82,42,30,33,6,6,14,10,13
Kepa,Kepa Arrizabalaga,84,31000000,92000,GOALKEEPER,25,11,18,51,18,10,25,19,53,16,34,33,41,78,39,65,71,37,51,14,18,21,15,57,24,63,19,18,16,84,82,86,80,85
João Cancelo,João Pedro Cavaco Cancelo,84,36500000,150000,DEFENDER,86,58,68,81,62,85,82,69,75,84,89,90,82,84,79,80,72,92,60,68,73,78,78,78,46,82,79,80,80,6,9,15,14,14
D. Alli,Bamidele Alli,84,41500000,115000,MIDFIELDER,68,82,83,84,79,83,75,68,80,86,68,76,75,86,62,78,71,89,72,80,84,74,88,83,74,87,70,70,63,7,6,9,11,8
L. Hernández,Lucas Hernández,84,37500000,110000,DEFENDER,78,53,82,79,46,65,59,39,63,79,79,83,70,85,68,62,85,83,79,51,86,83,62,63,42,76,81,84,86,10,7,8,14,10
Arthur,Arthur Henrique Ramos Oliveira Melo,84,41000000,180000,MIDFIELDER,70,69,58,88,63,86,74,60,82,88,71,67,79,83,89,74,68,73,67,73,75,75,75,86,69,81,76,76,70,6,13,13,11,12
M. Depay,Memphis Depay,84,40500000,110000,ATTACKER,83,78,65,80,74,84,85,88,74,85,87,87,81,79,79,87,74,79,80,81,75,28,83,85,71,78,29,31,20,8,14,6,12,10
L. Goretzka,Leon Goretzka,84,40000000,120000,MIDFIELDER,75,76,80,84,68,81,76,75,79,84,84,78,76,84,70,79,74,86,75,83,80,79,79,82,60,80,72,74,73,13,8,15,11,9
J. Brandt,Julian Brandt,84,40500000,94000,MIDFIELDER,78,79,53,86,78,86,77,59,80,86,78,86,81,83,78,81,63,78,74,80,43,39,80,84,54,82,39,42,29,11,16,11,8,9
K. Coman,Kingsley Coman,84,40500000,120000,MIDFIELDER,79,76,52,78,77,87,84,70,72,87,94,91,88,84,85,80,73,69,64,73,36,23,83,79,70,76,29,27,21,5,3,5,3,5
S. Gnabry,Serge Gnabry,84,39500000,120000,MIDFIELDER,76,81,44,79,83,87,70,62,69,83,92,89,86,82,88,86,64,74,69,81,63,38,82,77,68,78,45,42,45,14,10,10,9,7
N. Fekir,Nabil Fekir,84,39000000,40000,MIDFIELDER,83,82,49,83,77,90,81,80,75,89,79,77,82,78,91,84,64,74,82,82,73,28,81,81,74,89,31,37,25,15,9,8,14,15
B. Leno,Bernd Leno,84,26000000,91000,GOALKEEPER,9,9,13,45,10,16,9,8,42,30,55,56,52,79,44,59,73,43,68,14,28,22,7,54,23,66,27,15,18,83,81,78,84,85
Luis Alberto,Luis Alberto Romero Alconchel,84,37500000,78000,MIDFIELDER,76,77,49,88,76,86,86,81,87,88,75,68,81,80,74,77,54,70,65,76,29,42,80,85,56,72,48,56,41,6,8,6,12,11
Alex Telles,Alex Nicolao Telles,84,33000000,23000,DEFENDER,89,65,74,84,67,82,87,79,87,83,84,85,73,83,70,80,80,91,68,76,78,80,76,76,81,80,80,81,79,13,8,12,11,14
J. Pavlenka,Jiří Pavlenka,84,26000000,37000,GOALKEEPER,11,16,14,28,19,12,10,14,17,19,35,37,39,82,27,53,36,20,68,17,22,13,14,25,18,39,12,10,14,86,79,70,80,88
S. de Vrij,Stefan de Vrij,84,31500000,88000,DEFENDER,49,25,80,73,27,66,45,16,71,71,65,66,62,81,59,65,76,62,78,60,78,85,32,64,41,82,88,87,84,8,10,7,14,13
Felipe Anderson,Felipe  Anderson Pereira Gomes,84,36500000,125000,MIDFIELDER,81,74,44,81,73,90,77,69,76,88,89,89,89,77,87,86,37,74,55,84,67,69,76,81,53,84,47,59,46,12,10,9,5,7
